nome file;	BL06-camel-med.max;;	BL06-camel-sml.max;;	BVZ-tsukuba0.max;;	KZ2-tsukuba0.max;;	LB07-bunny-med.max;;	LB07-bunny-sml.max;;	adhead.n6c10.max;;	babyface.n6c10.max;;	bone.n6c10.max;;	liver.n6c10.max;;	
numero di nodi;	9676802;;	1209602;;	110594;;	215504;;	6311088;;	805802;;	12582914;;	5062502;;	7798786;;	4161602;;	
numero di archi;	19287360;;	2402640;;	220512;;	634409;;	18830103;;	2391242;;	73055860;;	28178089;;	44978844;;	20407661;;	
dimensione del file (Kbytes);	1024310;;	118096;;	8778;;	26146;;	813533;;	96045;;	1629689;;	633726;;	984680;;	509788;;	
dimensione del file (Mbytes);	1000.302734;;	115.328125;;	8.572266;;	25.533203;;	794.465820;;	93.793945;;	1591.493164;;	618.873047;;	961.601562;;	497.839844;;	
[descrizione del dataset]
ALGORITMO;Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);
Dinic;	131378;	131.378000;	4612;	4.612000;	523;	0.523000;	1833;	1.833000;	11040;	11.040000;	661;	0.661000;	291886;	291.886000;	133196;	133.196000;	123563;	123.563000;	59109;	59.109000;	
Push_Relabel_FIFO;	34973;	34.973000;	1833;	1.833000;	71;	0.071000;	243;	0.243000;	10082;	10.082000;	728;	0.728000;	37092;	37.092000;	23888;	23.888000;	11348;	11.348000;	19405;	19.405000;	
Push_Relabel_Highest;	34067;	34.067000;	1521;	1.521000;	84;	0.084000;	284;	0.284000;	15055;	15.055000;	767;	0.767000;	26282;	26.282000;	21803;	21.803000;	6900;	6.900000;	9092;	9.092000;	
Ahuja_Orlin;	34443;	34.443000;	2090;	2.090000;	186;	0.186000;	428;	0.428000;	12031;	12.031000;	866;	0.866000;	21665;	21.665000;	12095;	12.095000;	9040;	9.040000;	8825;	8.825000;	
Push_Relabel_Parallel_2_Processes;	41764;	41.764000;	3456;	3.456000;	152;	0.152000;	363;	0.363000;	12782;	12.782000;	960;	0.960000;	38589;	38.589000;	24015;	24.015000;	11589;	11.589000;	19219;	19.219000;	
Push_Relabel_Segment_Parallel_2_processes;	17897;	17.897000;	1060;	1.060000;	81;	0.081000;	173;	0.173000;	10736;	10.736000;	561;	0.561000;	31663;	31.663000;	17932;	17.932000;	7290;	7.290000;	8515;	8.515000;	
Ahuja_Orlin_Parallel_2_processes;	33125;	33.125000;	2104;	2.104000;	149;	0.149000;	430;	0.430000;	11351;	11.351000;	1012;	1.012000;	29366;	29.366000;	13790;	13.790000;	11616;	11.616000;	9777;	9.777000;	
Push_Relabel_Parallel_4_Processes;	31309;	31.309000;	3311;	3.311000;	149;	0.149000;	285;	0.285000;	9052;	9.052000;	723;	0.723000;	26946;	26.946000;	15801;	15.801000;	7673;	7.673000;	13160;	13.160000;	
Push_Relabel_Segment_Parallel_4_processes;	16463;	16.463000;	901;	0.901000;	61;	0.061000;	159;	0.159000;	5410;	5.410000;	341;	0.341000;	29801;	29.801000;	9176;	9.176000;	5952;	5.952000;	7601;	7.601000;	
Ahuja_Orlin_Parallel_4_processes;	31829;	31.829000;	2188;	2.188000;	161;	0.161000;	403;	0.403000;	10978;	10.978000;	988;	0.988000;	32217;	32.217000;	11526;	11.526000;	12307;	12.307000;	8403;	8.403000;	
Push_Relabel_Parallel_8_Processes;	31296;	31.296000;	4668;	4.668000;	315;	0.315000;	467;	0.467000;	9266;	9.266000;	937;	0.937000;	27530;	27.530000;	16141;	16.141000;	7616;	7.616000;	13541;	13.541000;	
