nome file;	BL06-camel-med.max;;	BL06-camel-sml.max;;	BVZ-tsukuba0.max;;	KZ2-tsukuba0.max;;	LB07-bunny-med.max;;	LB07-bunny-sml.max;;	babyface.n6c10.max;;	bone.n6c10.max;;	liver.n6c10.max;;	
numero di nodi;	9676802;;	1209602;;	110594;;	215504;;	6311088;;	805802;;	5062502;;	7798786;;	4161602;;	
numero di archi;	19287360;;	2402640;;	220512;;	634409;;	18830103;;	2391242;;	28178089;;	44978844;;	20407661;;	
dimensione del file (Kbytes);	1024310;;	118096;;	8778;;	26146;;	813533;;	96045;;	633726;;	984680;;	509788;;	
dimensione del file (Mbytes);	1000.302734;;	115.328125;;	8.572266;;	25.533203;;	794.465820;;	93.793945;;	618.873047;;	961.601562;;	497.839844;;	
[descrizione del dataset]
ALGORITMO;Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);
Dinic;	147399;	147.399000;	4889;	4.889000;	574;	0.574000;	1908;	1.908000;	11439;	11.439000;	678;	0.678000;	136480;	136.480000;	126791;	126.791000;	60131;	60.131000;	
Push_Relabel_FIFO;	35536;	35.536000;	1870;	1.870000;	71;	0.071000;	262;	0.262000;	10014;	10.014000;	740;	0.740000;	24399;	24.399000;	11597;	11.597000;	19685;	19.685000;	
Push_Relabel_Highest;	34701;	34.701000;	1493;	1.493000;	86;	0.086000;	257;	0.257000;	15139;	15.139000;	805;	0.805000;	21959;	21.959000;	7023;	7.023000;	9125;	9.125000;	
Ahuja_Orlin;	35000;	35.000000;	2088;	2.088000;	182;	0.182000;	355;	0.355000;	11803;	11.803000;	860;	0.860000;	11984;	11.984000;	8977;	8.977000;	8900;	8.900000;	
Push_Relabel_Parallel_2_Processes;	42486;	42.486000;	3584;	3.584000;	153;	0.153000;	361;	0.361000;	12839;	12.839000;	954;	0.954000;	23908;	23.908000;	11695;	11.695000;	19242;	19.242000;	
Push_Relabel_Segment_Parallel_2_processes;	19316;	19.316000;	1061;	1.061000;	79;	0.079000;	184;	0.184000;	9917;	9.917000;	309;	0.309000;	12961;	12.961000;	9324;	9.324000;	7502;	7.502000;	
Ahuja_Orlin_Parallel_2_processes;	35736;	35.736000;	2324;	2.324000;	164;	0.164000;	379;	0.379000;	11934;	11.934000;	1055;	1.055000;	13440;	13.440000;	11480;	11.480000;	8350;	8.350000;	
Push_Relabel_Parallel_4_Processes;	30771;	30.771000;	3336;	3.336000;	139;	0.139000;	324;	0.324000;	8993;	8.993000;	690;	0.690000;	15982;	15.982000;	7659;	7.659000;	13232;	13.232000;	
Push_Relabel_Segment_Parallel_4_processes;	12033;	12.033000;	864;	0.864000;	59;	0.059000;	166;	0.166000;	4086;	4.086000;	329;	0.329000;	7714;	7.714000;	5734;	5.734000;	5507;	5.507000;	
Ahuja_Orlin_Parallel_4_processes;	30221;	30.221000;	2110;	2.110000;	146;	0.146000;	344;	0.344000;	10956;	10.956000;	914;	0.914000;	10883;	10.883000;	11634;	11.634000;	7873;	7.873000;	
Push_Relabel_Parallel_8_Processes;	30702;	30.702000;	4650;	4.650000;	170;	0.170000;	364;	0.364000;	10109;	10.109000;	681;	0.681000;	16624;	16.624000;	8389;	8.389000;	13039;	13.039000;	
Push_Relabel_Segment_Parallel_8_processes;	14882;	14.882000;	1221;	1.221000;	109;	0.109000;	233;	0.233000;	5124;	5.124000;	429;	0.429000;	7067;	7.067000;	7720;	7.720000;	4729;	4.729000;	
Ahuja_Orlin_Parallel_8_processes;	33364;	33.364000;	2703;	2.703000;	204;	0.204000;	792;	0.792000;	12541;	12.541000;	1427;	1.427000;	12847;	12.847000;	13067;	13.067000;	8782;	8.782000;	
Push_Relabel_Parallel_16_Processes;	36096;	36.096000;	26959;	26.959000;	1423;	1.423000;	998;	0.998000;	7422;	7.422000;	629;	0.629000;	13873;	13.873000;	6642;	6.642000;	10950;	10.950000;	
Push_Relabel_Segment_Parallel_16_processes;	18210;	18.210000;	981;	0.981000;	161;	0.161000;	272;	0.272000;	3652;	3.652000;	345;	0.345000;	8254;	8.254000;	5529;	5.529000;	6115;	6.115000;	
Ahuja_Orlin_Parallel_16_processes;	34492;	34.492000;	2224;	2.224000;	279;	0.279000;	475;	0.475000;	10208;	10.208000;	1043;	1.043000;	11999;	11.999000;	10990;	10.990000;	8267;	8.267000;	
Hochbaum_highest_label_fifo;	15078;	15.078000;	812;	0.812000;	78;	0.078000;	172;	0.172000;	6766;	6.766000;	438;	0.438000;	9828;	9.828000;	2672;	2.672000;	6188;	6.188000;	
Hochbaum_highest_label_lifo;	15172;	15.172000;	688;	0.688000;	62;	0.062000;	156;	0.156000;	5984;	5.984000;	391;	0.391000;	8672;	8.672000;	2047;	2.047000;	5250;	5.250000;	
Hochbaum__lowest_label_fifo;	23672;	23.672000;	938;	0.938000;	125;	0.125000;	562;	0.562000;	3875;	3.875000;	312;	0.312000;	8734;	8.734000;	1172;	1.172000;	4562;	4.562000;	
Hochbaum__lowest_label_lifo;	21641;	21.641000;	797;	0.797000;	62;	0.062000;	375;	0.375000;	2219;	2.219000;	250;	0.250000;	7141;	7.141000;	891;	0.891000;	3359;	3.359000;	
boykov_kolmogorov;	20701;	20.701000;	840;	0.840000;	12;	0.012000;	41;	0.041000;	1047;	1.047000;	141;	0.141000;	5553;	5.553000;	5508;	5.508000;	5815;	5.815000;	
