nome file;	100.max;;	1000.max;;	10000.max;;	100000.max;;	500.max;;	50000.max;;	
numero di nodi;	100;;	1000;;	10000;;	100000;;	500;;	50000;;	
numero di archi;	356;;	4494;;	39596;;	485994;;	2194;;	237994;;	
dimensione del file (Kbytes);	11;;	128;;	1122;;	13764;;	63;;	6741;;	
dimensione del file (Mbytes);	0.010742;;	0.125000;;	1.095703;;	13.441406;;	0.061523;;	6.583008;;	
[descrizione del dataset]
ALGORITMO;Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);Tempi di esecuzione (ms); Tempi di esecuzione (s);
Edmond_Karps;	0;	0.000000;	12;	0.012000;	0;	0.000000;	365518;	365.518000;	2;	0.002000;	58484;	58.484000;	
Dinic;	0;	0.000000;	4;	0.004000;	0;	0.000000;	6567;	6.567000;	1;	0.001000;	1811;	1.811000;	
Push_Relabel_FIFO;	0;	0.000000;	0;	0.000000;	0;	0.000000;	1062;	1.062000;	0;	0.000000;	378;	0.378000;	
Push_Relabel_Highest;	0;	0.000000;	0;	0.000000;	0;	0.000000;	424;	0.424000;	0;	0.000000;	230;	0.230000;	
Ahuja_Orlin;	0;	0.000000;	0;	0.000000;	1;	0.001000;	1252;	1.252000;	0;	0.000000;	310;	0.310000;	
Push_Relabel_Parallel_2_Processes;	0;	0.000000;	8;	0.008000;	5;	0.005000;	3574;	3.574000;	11;	0.011000;	2268;	2.268000;	
Push_Relabel_Segment_Parallel_2_processes;	0;	0.000000;	2;	0.002000;	1;	0.001000;	650;	0.650000;	1;	0.001000;	405;	0.405000;	
Ahuja_Orlin_Parallel_2_processes;	0;	0.000000;	2;	0.002000;	2;	0.002000;	1334;	1.334000;	1;	0.001000;	417;	0.417000;	
Push_Relabel_Parallel_4_Processes;	0;	0.000000;	8;	0.008000;	5;	0.005000;	3754;	3.754000;	11;	0.011000;	2540;	2.540000;	
Push_Relabel_Segment_Parallel_4_processes;	0;	0.000000;	5;	0.005000;	2;	0.002000;	811;	0.811000;	2;	0.002000;	524;	0.524000;	
Ahuja_Orlin_Parallel_4_processes;	0;	0.000000;	4;	0.004000;	2;	0.002000;	1532;	1.532000;	3;	0.003000;	528;	0.528000;	
Push_Relabel_Parallel_8_Processes;	940;	0.940000;	22;	0.022000;	6;	0.006000;	5094;	5.094000;	14;	0.014000;	3413;	3.413000;	
Push_Relabel_Segment_Parallel_8_processes;	0;	0.000000;	5;	0.005000;	1;	0.001000;	1108;	1.108000;	6;	0.006000;	462;	0.462000;	
Ahuja_Orlin_Parallel_8_processes;	0;	0.000000;	7;	0.007000;	3;	0.003000;	1663;	1.663000;	5;	0.005000;	651;	0.651000;	
Push_Relabel_Parallel_16_Processes;	8;	0.008000;	110;	0.110000;	81;	0.081000;	42761;	42.761000;	187;	0.187000;	30103;	30.103000;	
Push_Relabel_Segment_Parallel_16_processes;	1;	0.001000;	43;	0.043000;	18;	0.018000;	1939;	1.939000;	21;	0.021000;	1887;	1.887000;	
Ahuja_Orlin_Parallel_16_processes;	2;	0.002000;	39;	0.039000;	24;	0.024000;	3477;	3.477000;	25;	0.025000;	1629;	1.629000;	
Hochbaum_highest_label_fifo;	0;	0.000000;	0;	0.000000;	0;	0.000000;	266;	0.266000;	0;	0.000000;	172;	0.172000;	
Hochbaum_highest_label_lifo;	0;	0.000000;	0;	0.000000;	0;	0.000000;	719;	0.719000;	0;	0.000000;	812;	0.812000;	
Hochbaum__lowest_label_fifo;	0;	0.000000;	0;	0.000000;	0;	0.000000;	656;	0.656000;	0;	0.000000;	203;	0.203000;	
Hochbaum__lowest_label_lifo;	0;	0.000000;	0;	0.000000;	0;	0.000000;	1891;	1.891000;	0;	0.000000;	1141;	1.141000;	
boykov_kolmogorov;	0;	0.000000;	2;	0.002000;	1;	0.001000;	27265;	27.265000;	0;	0.000000;	3033;	3.033000;	
